,ID,Name,Email,Units,Program,Level,Num Absences,Date Absence
1,3255,"Mort,Kris",mort@cpts122.edu,4,CS,Senior,1,4/4/2019
2,1222,"Willis,Bruce",brucewillis@cpts122.edu,AU,CS,Sophomore,1,4/4/2019
3,1122,"Smith,Jane",jane@cpts122.edu,4,CS,Sophomore,1,4/4/2019
4,7759,"Sam,Theo",samt@cpts122.edu,4,EE,Sophomore,1,4/4/2019
5,5530,"Payton,Ella",epayton@cpts122.edu,4,CPTE,Graduate,1,4/4/2019
6,2121,"James,Hannah",jameshannah@cpts122.edu,4,CS,Freshman,1,4/4/2019
7,4478,"Art,Bruce",bart@cpts122.edu,AU,CPTE,Freshman,1,4/4/2019
8,1121,"Leinart,Timothy",tim@cpts122.edu,4,EE,Junior,1,4/4/2019
9,8147,"Beck,Sara",sara@cpts122.edu,4,EE,Junior,1,4/4/2019
10,1111,"Smith,John",smithj@cpts122.edu,4,CS,Freshman,1,4/4/2019
